encoded_offer_id	offer_id
2DPBLHB	801
2DQPH7X	802
2DS4CZJ	803
2DTH8P5	804
2DWW5FQ	805
2DZ926C	806
2F1MWWZ	807
2F32RMK	808
2F4FND6	809
2F5SK4R	810
2F77FTD	811
2F8LBL1	812
2FB17BL	813
2FCD437	814
2FDQZRS	815
2FG5TJF	816
2FHJQ92	817
2FJXM1M	818
2FLBHQ8	819
2FMPDGT	820
2FP497G	821
2FQH5Z3	822
2FRW2NN	823
2FT8XF9	824
2FWMS5W	825
2FZ2NWH	826
2G1FKM4	827
2G2SGCP	828
2G47C4B	829
2G5L7SX	830
2G714KJ	831
2G8D1B5	832
2G9QW2Q	833
2GC5QRC	834
2GDJMHZ	835
2GFXJ8K	836
2GHBF16	837
2GJP9PR	838
2GL46GD	839
2GMH371	840
2GNTXXL	841
2GQ8SN7	842
2GRMPDS	843
2GT2L5F	844
2GWFGW2	845
2GXSCLM	846
2H178C8	847
2H2L53T	848
2H411SG	849
2H5CWK3	850
2H6QR9N	851
2H85N29	852
2H9JJQW	853
2HBXFHH	854
2HDBB84	855
2HFP6ZP	856
2HH43PB	857
2HJGZFX	858
2HKTT6J	859
2HM8PX5	860
2HNMLMQ	861
2HQ2HDC	862
2HRFD4Z	863
2HSS8TK	864
2HW75L6	865
2HXL2BR	866
2HZZX3D	867
2J2CRS1	868
2J3QNJL	869
2J55K97	870
2J6JG1S	871
2J7XBQF	872
2J9B7H2	873
2JBP47M	874
2JD3ZZ8	875
2JFGTNT	876
2JGTQFG	877
2JJ8M63	878
2JKMHWN	879
2JM2DM9	880
2JNF9CW	881
2JPS64H	882
2JR72T4	883
2JSKXKP	884
2JTZSBB	885
2JXCP2X	886
2JZQKRJ	887
2K25GJ5	888
2K3JC8Q	889
2K4X81C	890
2K6B4PZ	891
2K7P1GK	892
2K93W76	893
2KBGQXR	894
2KCTMND	895
2KF8JF1	896
2KGMF5L	897
2KJ29W7	898
2KKF6LS	899
2KLS3CF	900
2KN6Z42	901
2KPKSSM	902
2KQZPK8	903
2KSCL9T	904
2KTQH2G	905
2KX5CR3	906
2KZJ8HN	907
2L1X589	908
2L3B1ZW	909
2L4NWPH	910
2L63RG4	911
2L7GN6P	912
2L8TJXB	913
2LB8FMX	914
2LCMBDJ	915
2LF2755	916
2LGF3TQ	917
2LHRZLC	918
2LK6TBZ	919
2LLKQ3K	920
2LMZLS6	921
2LPCHJR	922
2LQQD9D	923
2LS5921	924
2LTJ5QL	925
2LWX2H7	926
2LZ9X7S	927
2M1NRZF	928
2M33NP2	929
2M4GKFM	930
2M5TG68	931
2M78BWT	932
2M8M7MG	933
2MB24D3	934
2MCF14N	935
2MDRTT9	936
2MG6QKW	937
2MHKMBH	938
2MJZJ34	939
2MLCDRP	940
2MMQ9JB	941
2MP568X	942
2MQJ31J	943
2MRWXQ5	944
2MT9SGQ	945
2MWNP7C	946
2MZ3KXZ	947
2N1GGNK	948
2N2TCF6	949
2N4885R	950
2N5M4WD	951
2N721M1	952
2N8DWCL	953
2N9RR47	954
2NC6MSS	955
2NDKJKF	956
2NFZFB2	957
2NHCB2M	958
2NJQ6R8	959
2NL53HT	960
2NMHZ8G	961
2NNWT13	962
2NQ9PPN	963
2NRNLG9	964
2NT3H6W	965
2NWGCXH	966
2NXT8N4	967
2P185DP	968
2P2M25B	969
2P41WTX	970
2P5DRLJ	971
2P6RNC5	972
2P86K3Q	973
2P9KFSC	974
2PBZBJZ	975
2PDC79K	976
2PFQ426	977
2PH4ZQR	978
2PJHTHD	979
2PKWQ81	980
2PM9LZL	981
2PNNHP7	982
2PQ3DFS	983
2PRG96F	984
2PST5X2	985
2PW82MM	986
2PXLXD8	987
2Q11S4T	988
2Q2DNTG	989
2Q3RKL3	990
2Q56GBN	991
2Q6KC39	992
2Q7Z7RW	993
2Q9C4JH	994
2QBQ194	995
2QD4W1P	996
2QFHQQB	997
2QGWMGX	998
2QJ9J7J	999
2QKNDZ5	1000
2QM39NQ	1001
2QNG6FC	1002
2QPT35Z	1003
2QR7XWK	1004
2QSLSM6	1005
2QW1PCR	1006
2QXDL4D	1007
2QZRGT1	1008
2R26CKL	1009
2R3K8B7	1010
2R4Z52S	1011
2R6C1RF	1012
2R7PWJ2	1013
2R94R8M	1014
2RBHN18	1015
2RCWJPT	1016
2RF9FGG	1017
2RGNB73	1018
2RJ36XN	1019
2RKG3N9	1020
2RLSZDW	1021
2RN7T5H	1022
2RPLPW4	1023
2RR1LLP	1024
2RSDHCB	1025
2RTRD3X	1026
2RX68SJ	1027
2RZK5K5	1028
2S1Z29Q	1029
2S3BX2C	1030
2S4PRQZ	1031
2S64NHK	1032
2S7HK86	1033
2S8WFZR	1034
2SB9BPD	1035
2SCN7G1	1036
2SF346L	1037
2SGFZX7	1038
2SHSTMS	1039
2SK7QDF	1040
2SLLM52	1041
2SN1HTM	1042
2SPDDL8	1043
2SQR9BT	1044
2SS663G	1045
2STK2S3	1046
2SWXXJN	1047
2SZBS99	1048
2T1PP1W	1049
2T34KQH	1050
2T4HGH4	1051
2T5WC7P	1052
2T797ZB	1053
2T8N4NX	1054
2TB31FJ	1055
2TCFW65	1056
2TDSQWQ	1057
2TG7MMC	1058
2THLJCZ	1059
2TK1F4K	1060
2TLD9T6	1061
2TMR6KR	1062
2TP63BD	1063
2TQJZ31	1064
2TRXSRL	1065
2TTBPJ7	1066
2TWPL8S	1067
2TZ4H1F	1068
2W1HCQ2	1069
2W2W8GM	1070
2W49578	1071
2W5N1XT	1072
2W72WNG	1073
2W8FRF3	1074
2W9SN5N	1075
2WC7JW9	1076
2WDLFLW	1077
2WG1BCH	1078
2WHD744	1079
2WJR3SP	1080
2WL5ZKB	1081
2WMJT9X	1082
2WNXQ2J	1083
2WQBLR5	1084
2WRPHHQ	1085
2WT4D8C	1086
2WWH8ZZ	1087
2WXW5PK	1088
2X192G6	1089
2X2MX6R	1090
2X42RXD	1091
2X5FNN1	1092
2X6SKDL	1093
2X87G57	1094
2X9LBTS	1095
2XC17LF	1096
2XDD4C2	1097
2XFR13M	1098
2XH5TS8	1099
2XJJQJT	1100
2XKXM9G	1101
2XMBJ23	1102
2XNPDQN	1103
2XQ49H9	1104
2XRH67W	1105
2XSW2ZH	1106
2XW8XP4	1107
2XXMSFP	1108
2Z12P6B	1109
2Z2FKWX	1110
2Z3SGMJ	1111
2Z57CD5	1112
2Z6L84Q	1113
2Z814TC	1114
2Z9D1KZ	1115
2ZBQWBK	1116
2ZD5R36	1117
2ZFJMRR	1118
2ZGXJJD	1119
2ZJBF91	1120
2ZKPB1L	1121
2ZM46Q7	1122
2ZNH3GS	1123
2ZPTZ7F	1124
2ZR8SZ2	1125
2ZSMPNM	1126
2ZW2LF8	1127
2ZXFH5T	1128
2ZZSCWG	1129
31278M3	1130
313L5CN	1131
3151249	1132
316CWSW	1133
317QRKH	1134
3195NB4	1135
31BJK2P	1136
31CXFRB	1137
31FBBHX	1138
31GP78J	1139
31J4415	1140
31KGZPQ	1141
31LTTGC	1142
31N8Q6Z	1143
31PMLXK	1144
31R2HN6	1145
31SFDDR	1146
31TS95D	1147
31X75W1	1148
31ZL2LL	1149
321ZXC7	1150
323CS3S	1151
324QNSF	1152
3265KK2	1153
327JG9M	1154
328XC28	1155
32BB7QT	1156
32CP4HG	1157
32F4183	1158
32GGTZN	1159
32HTQP9	1160
32K8MFW	1161
32LMJ6H	1162
32N2DX4	1163
32PF9MP	1164
32QS6DB	1165
32S734X	1166
32TKXTJ	1167
32WZSL5	1168
32ZCPBQ	1169
331QL3C	1170
3335GRZ	1171
334JCJK	1172
335X896	1173
337B51R	1174
338P1QD	1175
33B3WH1	1176
33CGR7L	1177
33DTMZ7	1178
33G8JNS	1179
33HMFFF	1180
33K2B62	1181
33LF6WM	1182
33MS3M8	1183
33P6ZCT	1184
33QKT4G	1185
33RZPT3	1186
33TCLKN	1187
33WQHB9	1188
33Z5D2W	1189
341J8RH	1190
342X5J4	1191
344B28P	1192
345NX1B	1193
3473RPX	1194
348GNGJ	1195
349TK75	1196
34C8FXQ	1197
34DMBNC	1198
34G27DZ	1199
34HF45K	1200
34JRZW6	1201
34L6TLR	1202
34MKQCD	1203
34NZM41	1204
34QCHSL	1205
34RQDK7	1206
34T599S	1207
34WJ62F	1208
34XX2R2	1209
3519XHM	1210
352NS88	1211
3543NZT	1212
355GKPG	1213
356TGG3	1214
3588C6N	1215
359M7X9	1216
35C24MW	1217
35DF1DH	1218
35FRW54	1219
35H6QTP	1220
35JKMLB	1221
35KZJBX	1222
35MCF3J	1223
35NQ9S5	1224
35Q56JQ	1225
35RJ39C	1226
35SWZ1Z	1227
35W9SQK	1228
35XNPH6	1229
3613L7R	1230
362GGZD	1231
363TCP1	1232
36588FL	1233
366M567	1234
36821WS	1235
369DWMF	1236
36BRRD2	1237
36D6N4M	1238
36FKJT8	1239
36GZFKT	1240
36JCBBG	1241
36KQ733	1242
36M53RN	1243
36NHZJ9	1244
36PWT8W	1245
36R9Q1H	1246
36SNLQ4	1247
36W3HGP	1248
36XGD7B	1249
36ZT8XX	1250
37285NJ	1251
373M2F5	1252
3751X5Q	1253
376DRWC	1254
377RNLZ	1255
3796KCK	1256
37BKG46	1257
37CZBSR	1258
37FC7KD	1259
37GQ4B1	1260
37J512L	1261
37KHTR7	1262
37LWQHS	1263
37N9M8F	1264
37PNJ12	1265
37R3DPM	1266
37SG9G8	1267
37TT66T	1268
37X82XG	1269
37ZLXN3	1270
3821SDN	1271
383DP59	1272
384RKTW	1273
3866GLH	1274
387KCC4	1275
388Z83P	1276
38BC4SB	1277
38CQ1JX	1278
38F4W9J	1279
38GHR25	1280
38HWMQQ	1281
38K9JHC	1282
38LNF7Z	1283
38N39ZK	1284
38PG6P6	1285
38QT3FR	1286
38S7Z6D	1287
38TLSX1	1288
38X1PML	1289
38ZDLD7	1290
391RH4S	1291
3936CTF	1292
394K8L2	1293
395Z5BM	1294
397C238	1295
398PWRT	1296
39B4RJG	1297
39CHN93	1298
39DWK1N	1299
39G9FQ9	1300
39HNBGW	1301
39K377H	1302
39LG3Z4	1303
39MSZNP	1304
39P7TFB	1305
39QLQ5X	1306
39S1LWJ	1307
39TDHM5	1308
39WRDCQ	1309
39Z694C	1310
3B1K5SZ	1311
3B2Z2KK	1312
3B4BXB6	1313
3B5PS2R	1314
3B74NRD	1315
3B8HKJ1	1316
3B9WG8L	1317
3BC9C17	1318
3BDN7PS	1319
3BG34GF	1320
3BHG172	1321
3BJSTXM	1322
3BL7QN8	1323
3BMLMDT	1324
3BP1J5G	1325
3BQDDW3	1326
3BRR9LN	1327
3BT66C9	1328
3BWK33W	1329
3BXXXSH	1330
3C1BSK4	1331
3C2PP9P	1332
3C44L2B	1333
3C5HGQX	1334
3C6WCHJ	1335
3C89885	1336
3C9N4ZQ	1337
3CC31PC	1338
3CDFWFZ	1339
3CFSR6K	1340
3CH7MX6	1341
3CJLJMR	1342
3CL1FDD	1343
3CMDB51	1344
3CNR6TL	1345
3CQ63L7	1346
3CRJZBS	1347
3CSXT3F	1348
3CWBPS2	1349
3CXPLJM	1350
3D14H98	1351
3D2HD1T	1352
3D3W8QG	1353
3D595H3	1354
3D6N27N	1355
3D82WZ9	1356
3D9FRNW	1357
3DBSNFH	1358
3DD7K64	1359
3DFLFWP	1360
3DH1BMB	1361
3DJD7CX	1362
3DKR44J	1363
3DM5ZT5	1364
3DNJTKQ	1365
3DPXQBC	1366
3DRBM2Z	1367
3DSPHRK	1368
3DW4DJ6	1369
3DXH98R	1370
3DZW61D	1371
3F292Q1	1372
3F3MXGL	1373
3F52S77	1374
3F6FNXS	1375
3F7SKNF	1376
3F97GF2	1377
3FBLC5M	1378
3FD17W8	1379
3FFD4LT	1380
3FGR1CG	1381
3FJ5W43	1382
3FKJQSN	1383
3FLXMK9	1384
3FNBJ9W	1385
3FPPF2H	1386
3FR49R4	1387
3FSH6HP	1388
3FTW38B	1389
3FX8XZX	1390
3FZMSPJ	1391
3G22PG5	1392
3G3FL6Q	1393
3G4SGXC	1394
3G67CMZ	1395
3G7L8DK	1396
3G91556	1397
3GBD1TR	1398
3GCQWLD	1399
3GF5RC1	1400
3GGJN3L	1401
3GHXJS7	1402
3GKBFJS	1403
3GLPB9F	1404
3GN4722	1405
3GPH3QM	1406
3GQTZH8	1407
3GS8T7T	1408
3GTMPZG	1409
3GX2LP3	1410
3GZFHFN	1411
3H1SD69	1412
3H378WW	1413
3H4L5MH	1414
3H612D4	1415
3H7CX4P	1416
3H8QRTB	1417
3HB5NKX	1418
3HCJKBJ	1419
3HDXG35	1420
3HGBBRQ	1421
3HHP7JC	1422
3HK448Z	1423
3HLH11K	1424
3HMTTQ6	1425
3HP8QGR	1426
3HQMM7D	1427
3HS2HZ1	1428
3HTFDNL	1429
3HWS9F7	1430
3HZ765S	1431
3J1L2WF	1432
3J2ZXM2	1433
3J4CSCM	1434
3J5QP48	1435
3J75KST	1436
3J8JGKG	1437
3J9XCB3	1438
3JCB82N	1439
3JDP4R9	1440
3JG41HW	1441
3JHGW8H	1442
3JJTR14	1443
3JL8MPP	1444
3JMMJGB	1445
3JP2F6X	1446
3JQF9XJ	1447
3JRS6N5	1448
3JT73DQ	1449
3JWKZ5C	1450
3JXZSTZ	1451
3K1CPLK	1452
3K2QLC6	1453
3K45H3R	1454
3K5JCSD	1455
3K6X8K1	1456
3K8B59L	1457
3K9P227	1458
3KC3WQS	1459
3KDGRHF	1460
3KFTN82	1461
3KH8JZM	1462
3KJMFP8	1463
3KL2BFT	1464
3KMF76G	1465
3KNS3X3	1466
3KQ6ZMN	1467
3KRKTD9	1468
3KSZQ4W	1469
3KWCLTH	1470
